id,name
1,Blender
2,Photoshop
3,Adobe illustrator
4,Graphic Design 
5,User Experience Design
6,3D Modeling
7,Drawing
8,Character Design
9,After Effects
10,Web Design
11,User InterFace
12,Adobe XD
13,Digital Painting
14,Procreate Digital illustration App
15,Figma
16,WordPress
17,Motion Graphics
18,AutoCAD
19,Python
20,Javascript
21,React
22,Web Development
23,Data Science
24,Data Analysis
25,Java
26,Machine Learning
27,C#
28,C++
29,CSS
30,C
31,Node.Js
32,Google Flutter
33,Angular
34,SQL
35,Solidity
36,Unreal Engine
37,Digital Marketing
38,Social Media Marketing
39,Google Ads (Adwords)
40,SEO
41,Instagram Marketing
42,Fackbook Marketing
43,YouTube Marketing
44,Facebook Ads
45,Copywriting
46,Markerting Strategy
47,Google Analytics
48,Cisco CCNA
49,Google Cloud
50,Ethical Hacking
51,Cyber Security
52,Amazon AWS
53,Linux
54,Kubernetes
55,Speed Reading
56,Memory
57,Personal Productivity
58,Communication Skills
59,Leadership
60,Time Management 
61,Learning Strategies
62,Confidence
63,Mindfulness
64,Public Speaking
65,Personal Transformation
66,Creative Writing
67,Life Purpose
68,Meditation
69,Project Management
70,Product Managrment
71,Business Analysis
72,Real Estate Investing
73,Agile
74,Scrum
75,Business fundamentals
76,Blockchain
77,Data Modelling
78,Business Strategy
79,Adobe Premiere 
80,Video Production
81,Video Editing
82,Adobe Lightroom
83,Photoshop
84,Filmmaking
85,Final Cut Pro
86,After Effects
87,Portrait Photography
88,Digital Camera functionality
89,Guitar
90,Piano
91,Ukulele
92,Drum
93,Music Theory
94,Music Production
95,Singing
96,Logic Pro X
97,Music Composition
98,Music Mixing
99,Ableton Live
100,FL Studio
101,Songwriting
102,DJ
